Drug1,Drug2,Severity,Type,Mechanism,Clinical Effect,Recommendation,Monitoring,Dose Dependence,Alternative,Reference
Tetracycline,Ferrous sulfate,Major,Pharmacokinetic,Iron chelates tetracycline,Reduced antibiotic absorption,Separate administration by several hours,Clinical response,Yes,Separate doses,FDA/approved product labeling
Ciprofloxacin,Ferrous sulfate,Major,Pharmacokinetic,Iron chelates ciprofloxacin,Reduced antibiotic absorption,Separate administration according to product instructions,Clinical response,Yes,Separate doses,FDA/approved product labeling
Levofloxacin,Ferrous sulfate,Major,Pharmacokinetic,Iron reduces fluoroquinolone absorption by chelation,Reduced antibiotic exposure,Separate administration,Clinical response,Yes,Separate doses,FDA/approved product labeling
Ciprofloxacin,Magnesium oxide,Major,Pharmacokinetic,Magnesium chelates ciprofloxacin,Reduced antibiotic absorption,Separate administration,Clinical response,Yes,Separate doses,FDA/approved product labeling
Levofloxacin,Magnesium oxide,Major,Pharmacokinetic,Magnesium chelates levofloxacin,Reduced antibiotic absorption,Separate administration,Clinical response,Yes,Separate doses,FDA/approved product labeling
Moxifloxacin,Calcium carbonate,Major,Pharmacokinetic,Calcium reduces fluoroquinolone absorption,Reduced antibiotic exposure,Separate administration,Clinical response,Yes,Separate doses,FDA/approved product labeling
Ondansetron,Amiodarone,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid or monitor closely in high-risk patients,ECG and electrolytes,Yes,Alternative antiemetic,FDA/approved product labeling
Ondansetron,Sotalol,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid combination when possible,ECG and electrolytes,Yes,Alternative antiemetic,FDA/approved product labeling
Ondansetron,Moxifloxacin,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid when possible,ECG and electrolytes,Yes,Alternative antiemetic,FDA/approved product labeling
Domperidone,Clarithromycin,Major,Pharmacodynamic/Pharmacokinetic,CYP3A4 inhibition and QT prolongation increase arrhythmia risk,Serious ventricular arrhythmia,Avoid combination,ECG,Yes,Alternative antiemetic,FDA/approved product labeling
Domperidone,Amiodarone,Major,Pharmacodynamic,Additive QT prolongation,Torsades and ventricular arrhythmia,Avoid combination,ECG and electrolytes,Yes,Alternative GI therapy,FDA/approved product labeling
Loperamide,Clarithromycin,Moderate,Pharmacokinetic,CYP3A4/P-gp inhibition can increase loperamide exposure,CNS/cardiac toxicity at excessive exposure,Avoid excessive doses and monitor,GI and cardiac symptoms,Yes,Alternative antidiarrheal,FDA/approved product labeling
Pantoprazole,Methotrexate,Moderate,Pharmacokinetic,PPI therapy may reduce high-dose methotrexate clearance,Potential methotrexate toxicity,Consider protocol-specific management,Methotrexate level and renal function,Yes,Alternative acid suppression,FDA/approved product labeling
Sucralfate,Phenytoin,Moderate,Pharmacokinetic,Sucralfate can reduce phenytoin absorption,Reduced phenytoin exposure,Separate administration and monitor,Phenytoin level,Yes,Separate doses,FDA/approved product labeling
Sucralfate,Digoxin,Moderate,Pharmacokinetic,Sucralfate can reduce digoxin absorption,Reduced digoxin exposure,Separate administration,Digoxin level/clinical response,Yes,Separate doses,FDA/approved product labeling
Aluminium hydroxide,Ciprofloxacin,Major,Pharmacokinetic,Aluminum chelates ciprofloxacin,Reduced antibiotic absorption,Separate administration,Clinical response,Yes,Separate doses,FDA/approved product labeling
Magnesium hydroxide,Ciprofloxacin,Major,Pharmacokinetic,Magnesium chelates ciprofloxacin,Reduced antibiotic absorption,Separate administration,Clinical response,Yes,Separate doses,FDA/approved product labeling
Calcium carbonate,Doxycycline,Moderate,Pharmacokinetic,Calcium chelates doxycycline,Reduced antibiotic absorption,Separate administration,Clinical response,Yes,Separate doses,FDA/approved product labeling
Cyclosporine,Ketoconazole,Major,Pharmacokinetic,CYP3A inhibition increases cyclosporine exposure,Nephrotoxicity and toxicity,Monitor level and renal function,Cyclosporine level and renal function,Yes,Alternative antifungal,FDA/approved product labeling
Azathioprine,Allopurinol,Major,Pharmacokinetic,Allopurinol inhibits xanthine oxidase and markedly reduces azathioprine metabolism,Severe myelosuppression,Avoid or use specialist-directed dose reduction,CBC and liver function,Yes,Alternative urate-lowering therapy,FDA/approved product labeling
Azathioprine,Febuxostat,Contraindicated,Pharmacokinetic,Xanthine oxidase inhibition can markedly increase thiopurine exposure,Severe bone-marrow suppression,Do not combine,CBC,Yes,Alternative urate-lowering therapy,FDA/approved product labeling
Colchicine,Clarithromycin,Major,Pharmacokinetic,CYP3A4/P-gp inhibition increases colchicine exposure,Life-threatening colchicine toxicity,Avoid combination when possible,"GI, neuromuscular and hematologic toxicity",Yes,Alternative antibiotic,FDA/approved product labeling
Colchicine,Cyclosporine,Major,Pharmacokinetic,P-gp/CYP3A inhibition increases colchicine exposure,Colchicine toxicity,Avoid or adjust according to product guidance,Neuromuscular and hematologic status,Yes,Alternative therapy,FDA/approved product labeling
Naproxen,Methotrexate,Major,Pharmacokinetic,NSAID may reduce methotrexate clearance,Increased methotrexate toxicity,Use cautiously and monitor,CBC and renal function,Yes,Alternative analgesic,FDA/approved product labeling
Ketorolac,Warfarin,Major,Pharmacodynamic,NSAID platelet/GI effects add to anticoagulation,Major bleeding risk,Avoid combination,Bleeding signs,Yes,Alternative analgesic,FDA/approved product labeling
Ketorolac,Aspirin,Major,Pharmacodynamic,Additive NSAID/antiplatelet effects,GI bleeding and renal toxicity,Avoid combination,GI and renal status,Yes,Alternative analgesic,FDA/approved product labeling
Indomethacin,Lithium,Major,Pharmacokinetic,NSAID reduces renal lithium clearance,Lithium toxicity,Monitor lithium closely,Lithium level and renal function,Yes,Alternative analgesic,FDA/approved product labeling
Meloxicam,Lithium,Major,Pharmacokinetic,NSAID reduces lithium clearance,Lithium toxicity,Monitor lithium,Lithium level and renal function,Yes,Alternative analgesic,FDA/approved product labeling
Celecoxib,Warfarin,Major,Pharmacodynamic/Pharmacokinetic,NSAID effects increase bleeding risk and may alter anticoagulation,Bleeding risk and INR changes,Avoid unnecessary combination and monitor INR,INR and bleeding signs,Yes,Non-NSAID analgesic,FDA/approved product labeling
Prednisolone,Aspirin,Moderate,Pharmacodynamic,Combined GI mucosal injury,GI ulceration and bleeding,Use cautiously and monitor GI symptoms,GI symptoms,Yes,Alternative anti-inflammatory strategy,FDA/approved product labeling
Dexamethasone,Aspirin,Moderate,Pharmacodynamic,Combined GI mucosal injury and bleeding risk,GI bleeding,Use cautiously,GI symptoms,Yes,Alternative anti-inflammatory strategy,FDA/approved product labeling
Methylprednisolone,Warfarin,Moderate,Pharmacodynamic,Corticosteroid therapy may alter anticoagulant response,INR changes and bleeding risk,Monitor INR with therapy changes,INR,Yes,Individualize therapy,FDA/approved product labeling
Chlorthalidone,Lithium,Major,Pharmacokinetic,Thiazide-like diuretic reduces lithium clearance,Lithium toxicity,Monitor lithium closely,Lithium level and renal function,Yes,Alternative antihypertensive,FDA/approved product labeling
Indapamide,Lithium,Major,Pharmacokinetic,Diuretic can reduce lithium clearance,Lithium toxicity,Monitor lithium,Lithium level and renal function,Yes,Alternative antihypertensive,FDA/approved product labeling
