Drug,Generic Name,Therapeutic Class,Pharmacological Class,Indication,Route,Mechanism,Renal Impairment,Hepatic Impairment,Geriatric Considerations,Pediatric Considerations,Pregnancy,Lactation,Common Adverse Effects
Doxycycline,Doxycycline,Antibiotic,Tetracycline,Respiratory skin and atypical infections,Oral/IV,Inhibits bacterial protein synthesis at 30S ribosome,Usually no major renal adjustment,Caution in hepatic impairment,Older adults require monitoring for esophageal injury,Generally avoided in young children except specific indications,Generally avoided in pregnancy unless specifically indicated,Generally avoided during breastfeeding in prolonged use,Nausea photosensitivity esophagitis
Minocycline,Minocycline,Antibiotic,Tetracycline,Acne and bacterial infections,Oral,Inhibits bacterial protein synthesis,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor dizziness and pigmentation,Generally avoided in young children,Generally avoided in pregnancy,Generally avoided during breastfeeding,Dizziness pigmentation nausea
Tetracycline,Tetracycline,Antibiotic,Tetracycline,Bacterial infections,Oral,Inhibits bacterial protein synthesis,Use cautiously in renal impairment,Avoid significant hepatic impairment,Older adults require monitoring,Contraindicated or avoided in young children,Generally avoided in pregnancy,Generally avoided during breastfeeding,GI upset photosensitivity tooth discoloration
Erythromycin,Erythromycin,Antibiotic,Macrolide,Bacterial infections,Oral/Injection,Inhibits bacterial protein synthesis at 50S ribosome,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor QT prolongation and interactions,Used in selected pediatric infections,Generally compatible when indicated,Compatible with monitoring,Nausea diarrhea QT prolongation
Clindamycin,Clindamycin,Antibiotic,Lincosamide,Bacterial infections,Oral/Injection,Inhibits bacterial protein synthesis at 50S ribosome,Usually no renal adjustment,Use cautiously in hepatic impairment,High risk of C difficile diarrhea,Used in children with weight-based dosing,Use when clinically indicated,Compatible with monitoring,Diarrhea colitis rash
Linezolid,Linezolid,Antibiotic,Oxazolidinone,Serious resistant Gram-positive infections,Oral/IV,Inhibits bacterial protein synthesis at 50S ribosome,Usually no adjustment,Use cautiously in hepatic impairment,Monitor blood counts and neuropathy,Specialist pediatric dosing,Use only when clearly indicated,Limited data,Thrombocytopenia nausea neuropathy
Vancomycin,Vancomycin,Antibiotic,Glycopeptide,Serious Gram-positive infections,IV/Oral,Inhibits bacterial cell wall synthesis,Renal dose adjustment and therapeutic drug monitoring required,Usually no major hepatic adjustment,Older adults have increased nephrotoxicity risk,Weight-based specialist dosing,Use when clearly indicated,Compatible with monitoring,Nephrotoxicity ototoxicity infusion reaction
Teicoplanin,Teicoplanin,Antibiotic,Glycopeptide,Serious Gram-positive infections,Injection,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Use cautiously in hepatic impairment,Monitor renal function and blood counts,Specialist pediatric use,Use when indicated,Limited data,Rash nephrotoxicity
Gentamicin,Gentamicin,Antibiotic,Aminoglycoside,Serious Gram-negative infections,Injection,Inhibits bacterial protein synthesis at 30S ribosome,Renal dose adjustment and therapeutic monitoring required,Usually no major hepatic adjustment,High nephrotoxicity and ototoxicity risk,Weight-based pediatric dosing and monitoring,Use when clearly indicated,Monitor infant if used,Nephrotoxicity ototoxicity
Amikacin,Amikacin,Antibiotic,Aminoglycoside,Serious Gram-negative infections,Injection,Inhibits bacterial protein synthesis at 30S ribosome,Renal dose adjustment and drug monitoring required,Usually no major hepatic adjustment,High nephrotoxicity and ototoxicity risk,Weight-based pediatric dosing,Use when clearly indicated,Limited data,Nephrotoxicity ototoxicity
Tobramycin,Tobramycin,Antibiotic,Aminoglycoside,Bacterial infections,Injection/Inhalation,Inhibits bacterial protein synthesis,Renal dose adjustment required,Usually no major hepatic adjustment,Monitor renal and auditory function,Specialist pediatric dosing,Use when clearly indicated,Limited data,Nephrotoxicity ototoxicity
Levofloxacin,Levofloxacin,Antibiotic,Fluoroquinolone,Bacterial infections,Oral/IV,Inhibits bacterial DNA gyrase and topoisomerase IV,Renal dose adjustment required,Caution in hepatic impairment,Monitor QT and tendon effects,Use in children only for selected indications,Use only when benefits outweigh risks,Limited data,Nausea tendon injury QT prolongation
Moxifloxacin,Moxifloxacin,Antibiotic,Fluoroquinolone,Bacterial infections,Oral/IV,Inhibits bacterial DNA gyrase and topoisomerase IV,Usually no renal adjustment,Caution in hepatic impairment,Monitor QT and tendon effects,Limited pediatric use,Use only when clearly indicated,Limited data,Nausea QT prolongation tendon injury
Metronidazole,Metronidazole,Antibiotic/Antiprotozoal,Nitroimidazole,Anaerobic and protozoal infections,Oral/IV,Disrupts microbial DNA,Use cautiously in severe renal impairment,Reduce dose in severe hepatic impairment,Monitor neurological effects,Common pediatric use with weight-based dosing,Generally compatible when indicated,Generally compatible with monitoring,Nausea metallic taste neuropathy
Tinidazole,Tinidazole,Antiprotozoal/Nitroimidazole,Nitroimidazole,Protozoal and anaerobic infections,Oral,Disrupts microbial DNA,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor CNS effects,Limited pediatric use,Use only when indicated,Limited data,Nausea metallic taste dizziness
Fluconazole,Fluconazole,Antifungal,Triazole antifungal,Fungal infections,Oral/IV,Inhibits fungal ergosterol synthesis,Renal dose adjustment required,Monitor liver function,Monitor QT and interactions,Weight-based pediatric dosing available,Use when benefits outweigh risks,Use with specialist advice,Hepatotoxicity nausea QT prolongation
Itraconazole,Itraconazole,Antifungal,Triazole antifungal,Systemic and superficial fungal infections,Oral,Inhibits fungal ergosterol synthesis,Use cautiously,Use cautiously or avoid significant hepatic impairment,Multiple interactions and heart failure concerns,Limited pediatric use,Use only when clearly indicated,Limited data,Nausea hepatotoxicity edema
Ketoconazole,Ketoconazole,Antifungal,Azole antifungal,Fungal infections and selected dermatologic conditions,Topical/Oral,Inhibits fungal ergosterol synthesis,Use cautiously,Oral use associated with significant hepatotoxicity and generally restricted,Older adults may have increased adverse effects,Limited pediatric use,Oral use generally avoided unless essential,Limited data,Hepatotoxicity adrenal suppression GI effects
Acyclovir,Acyclovir,Antiviral,Nucleoside analogue,Herpesvirus infections,Oral/IV,Inhibits viral DNA polymerase,Renal dose adjustment required,Usually no major adjustment,Ensure hydration and monitor renal function,Common pediatric use with weight-based dosing,Use when clinically indicated,Generally compatible,Nephrotoxicity nausea headache
Valacyclovir,Valacyclovir,Antiviral,Nucleoside analogue,Herpesvirus infections,Oral,Prodrug converted to acyclovir,Renal dose adjustment required,Use cautiously in hepatic impairment,Neurotoxicity risk increased with renal impairment,Limited pediatric indications,Use when clinically indicated,Generally considered compatible,Headache nausea renal impairment
Oseltamivir,Oseltamivir,Antiviral,Neuraminidase inhibitor,Influenza treatment and prevention,Oral,Inhibits viral neuraminidase,Renal dose adjustment required,Usually no major adjustment,Monitor neuropsychiatric symptoms,Used in children with age-specific dosing,Can be used when indicated,Generally compatible,Nausea vomiting headache
Remdesivir,Remdesivir,Antiviral,Nucleotide analogue,Selected viral infections,IV,Inhibits viral RNA-dependent RNA polymerase,Follow current renal recommendations and monitoring,Monitor liver enzymes closely,Monitor hepatic and renal function,Specialist pediatric use,Use only when clearly indicated,Limited data,Nausea elevated liver enzymes
Ribavirin,Ribavirin,Antiviral,Nucleoside analogue,Selected viral infections,Oral/Inhalation,Interferes with viral RNA synthesis,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor blood counts,Specialist pediatric use,Contraindicated in pregnancy due to teratogenicity,Contraindicated/avoid exposure in breastfeeding,Anemia fatigue nausea
Albendazole,Albendazole,Anthelmintic,Benzimidazole,Helminthic infections,Oral,Inhibits parasite microtubule formation,Use cautiously in renal impairment,Monitor liver function during prolonged treatment,Monitor hepatic effects,Used in children with age-specific dosing,Avoid in pregnancy unless benefits outweigh risks,Limited data,Abdominal pain elevated liver enzymes
Mebendazole,Mebendazole,Anthelmintic,Benzimidazole,Helminthic infections,Oral,Inhibits parasite microtubule formation,Usually no adjustment,Use cautiously in hepatic impairment,Monitor long-term treatment,Used in children according to age,Use only when indicated,Limited data,Abdominal pain diarrhea elevated liver enzymes
Ivermectin,Ivermectin,Antiparasitic,Macrocyclic lactone,Parasitic infections,Oral,Activates parasite chloride channels,Limited renal data,Use cautiously in hepatic impairment,Monitor CNS effects,Use in children according to weight and indication,Use only when benefits outweigh risks,Limited data,Dizziness nausea rash
Chloroquine,Chloroquine,Antimalarial,4-aminoquinoline,Malaria and selected autoimmune conditions,Oral,Interferes with parasite heme metabolism,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor QT and retinal effects,Specialist pediatric dosing,Use when clearly indicated,Limited data,Pruritus GI upset retinal toxicity
Hydroxychloroquine,Hydroxychloroquine,Antimalarial/DMARD,4-aminoquinoline,Malaria and autoimmune disorders,Oral,Interferes with lysosomal and immune pathways,Consider dose reduction in significant renal impairment,Use cautiously in hepatic impairment,Long-term retinal monitoring essential,Used in selected pediatric autoimmune disorders,Can be used when indicated,Generally compatible with monitoring,Retinopathy GI upset QT prolongation
Prednisolone,Prednisolone,Corticosteroid,Glucocorticoid,Inflammatory and autoimmune disorders,Oral/Injection,Activates glucocorticoid receptors,Use cautiously in renal impairment,Caution in hepatic impairment,Long-term risks include osteoporosis and glucose intolerance,Used extensively with pediatric dosing,Use when benefits outweigh risks; dose timing matters,Generally compatible with monitoring,Hyperglycemia infection osteoporosis
Dexamethasone,Dexamethasone,Corticosteroid,Glucocorticoid,Inflammatory disorders and cerebral edema,Oral/IV,Activates glucocorticoid receptors,Usually no adjustment,Use cautiously in hepatic impairment,Monitor glucose bone health and infection risk,Used in children with indication-specific dosing,Use when clinically indicated,Generally compatible with monitoring,Hyperglycemia insomnia infection
Hydrocortisone,Hydrocortisone,Corticosteroid,Glucocorticoid,Adrenal insufficiency and inflammatory conditions,Oral/Injection,Activates glucocorticoid receptors,Use cautiously,Use cautiously in hepatic impairment,Stress dosing may be required,Important pediatric replacement therapy,Can be used when indicated,Compatible with monitoring,Fluid retention hyperglycemia infection
Betamethasone,Betamethasone,Corticosteroid,Glucocorticoid,Inflammatory disorders and selected obstetric indications,Oral/Injection/Topical,Activates glucocorticoid receptors,Use cautiously,Use cautiously in hepatic impairment,Monitor long-term systemic effects,Specialist pediatric use,Selected obstetric use when indicated,Specialist advice,Hyperglycemia infection fluid retention
Diclofenac,Diclofenac,NSAID,Nonselective COX inhibitor,Pain and inflammation,Oral/Topical/Injection,Inhibits COX and prostaglandin synthesis,Use cautiously or avoid significant renal impairment,Avoid significant hepatic disease,High GI renal and cardiovascular risk in older adults,Generally avoided in young children except selected indications,Avoid particularly in later pregnancy,Generally avoid during breastfeeding if prolonged,GI irritation renal injury cardiovascular risk
Naproxen,Naproxen,NSAID,Nonselective COX inhibitor,Pain inflammation and arthritis,Oral,Inhibits COX and prostaglandin synthesis,Avoid significant renal impairment,Use cautiously in hepatic impairment,High GI and renal risk in older adults,Selected pediatric use,Generally avoided in later pregnancy,Use cautiously during breastfeeding,GI bleeding renal impairment dyspepsia
Ketorolac,Ketorolac,NSAID,Nonselective COX inhibitor,Short-term moderate to severe acute pain,Oral/Injection,Inhibits COX and prostaglandin synthesis,Avoid significant renal impairment,Avoid significant hepatic disease,High GI bleeding and renal risk,Restricted pediatric use,Contraindicated around late pregnancy,Use cautiously or avoid breastfeeding depending clinical context,GI bleeding renal injury nausea
Meloxicam,Meloxicam,NSAID,Preferential COX-2 inhibitor,Pain and arthritis,Oral,Inhibits COX and prostaglandin synthesis,Avoid severe renal impairment,Use cautiously in hepatic impairment,Monitor GI renal and cardiovascular effects,Limited pediatric use,Generally avoided in pregnancy especially later stages,Use cautiously during breastfeeding,Dyspepsia edema renal impairment
Celecoxib,Celecoxib,NSAID,Selective COX-2 inhibitor,Pain and arthritis,Oral,Selective inhibition of COX-2,Avoid severe renal impairment,Caution in hepatic impairment,Monitor cardiovascular and renal risk,Selected pediatric use,Generally avoided in pregnancy especially later stages,Limited data,Edema dyspepsia cardiovascular risk
Indomethacin,Indomethacin,NSAID,Nonselective COX inhibitor,Pain inflammation and selected obstetric uses,Oral/Rectal/Injection,Inhibits COX enzymes,Avoid significant renal impairment,Avoid or use cautiously in hepatic disease,High CNS GI and renal adverse effect risk,Selected pediatric specialist use,Generally avoided later in pregnancy except specific obstetric indications,Use cautiously,Headache GI bleeding dizziness
Felodipine,Felodipine,Antihypertensive,Dihydropyridine calcium channel blocker,Hypertension,Oral,Blocks L-type calcium channels causing arterial vasodilation,Usually no adjustment,Reduce or titrate carefully in hepatic impairment,Start with lower dose,Limited pediatric use,Use when indicated,Limited data,Edema headache flushing
Nitrendipine,Nitrendipine,Antihypertensive,Dihydropyridine calcium channel blocker,Hypertension,Oral,Blocks L-type calcium channels,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor edema and hypotension,Limited pediatric data,Use when indicated,Limited data,Headache flushing edema
Insulin glargine,Insulin glargine,Antidiabetic,Long-acting insulin,Diabetes mellitus,Injection,Activates insulin receptors and promotes glucose uptake,Lower requirements may occur with renal impairment,Hepatic impairment may reduce insulin requirements,Greater hypoglycemia risk,Used in children with specialist dosing,Can be used when clinically necessary,Generally compatible with monitoring,Hypoglycemia weight gain injection-site reactions
Insulin lispro,Insulin lispro,Antidiabetic,Rapid-acting insulin,Diabetes mellitus,Injection,Promotes glucose uptake and reduces hepatic glucose production,Insulin requirements may decrease in renal impairment,Insulin requirements may decrease in hepatic impairment,Monitor closely for hypoglycemia,Common pediatric use,Can be used when clinically necessary,Generally compatible,Hypoglycemia weight gain
Glimepiride,Glimepiride,Antidiabetic,Sulfonylurea,Type 2 diabetes mellitus,Oral,Stimulates pancreatic beta-cell insulin release,Use cautiously in renal impairment due to hypoglycemia risk,Use cautiously in hepatic impairment,Older adults have increased prolonged hypoglycemia risk,Limited pediatric use,Generally avoided in pregnancy when alternatives preferred,Limited data,Hypoglycemia weight gain nausea
Vildagliptin,Vildagliptin,Antidiabetic,DPP-4 inhibitor,Type 2 diabetes mellitus,Oral,Inhibits DPP-4 and increases incretin activity,Use cautiously in renal impairment,Monitor liver function and avoid significant hepatic disease,Monitor liver enzymes,Limited pediatric use,Use only when clearly indicated,Limited data,Headache dizziness elevated liver enzymes
Levothyroxine,Levothyroxine,Thyroid hormone,Thyroid hormone replacement,Hypothyroidism,Oral/Injection,Replaces endogenous thyroxine,Usually no renal adjustment,Usually no major hepatic adjustment,Start lower and titrate carefully in cardiac disease,Common pediatric use with age-specific dosing,Generally considered safe when appropriately dosed,Compatible with monitoring,Palpitations tremor insomnia
Methimazole,Methimazole,Antithyroid,Thionamide,Hyperthyroidism,Oral,Inhibits thyroid hormone synthesis,Use cautiously in renal impairment,Monitor hepatic effects,Monitor blood counts and liver function,Used in children with specialist supervision,Generally preferred over propylthiouracil except selected pregnancy situations,Limited data,Agranulocytosis rash hepatotoxicity
Propylthiouracil,Propylthiouracil,Antithyroid,Thionamide,Hyperthyroidism,Oral,Inhibits thyroid hormone synthesis and peripheral conversion,Use cautiously in renal impairment,Significant hepatotoxicity risk,Monitor liver function and blood counts,Specialist pediatric use,Preferred in selected first-trimester pregnancy situations under supervision,Limited data,Hepatotoxicity agranulocytosis rash
Calcium carbonate,Calcium carbonate,Mineral supplement,Calcium salt,Calcium deficiency and antacid use,Oral,Provides elemental calcium and neutralizes gastric acid,Use cautiously in severe renal impairment,Usually no major hepatic adjustment,Monitor calcium and constipation,Used in children with age-specific dosing,Generally compatible when indicated,Generally compatible,Constipation hypercalcemia
Ferrous sulfate,Ferrous sulfate,Hematininic,Iron salt,Iron deficiency anemia,Oral,Replaces elemental iron for hemoglobin synthesis,Usually no major renal adjustment,Use cautiously in significant hepatic disease,Monitor GI tolerance and iron status,Common pediatric use with weight-based dosing,Generally compatible when indicated,Compatible,Constipation nausea dark stools
Folic acid,Folic acid,Vitamins,Folate,Prevention and treatment of folate deficiency,Oral/Injection,Provides folate required for nucleotide synthesis,Usually no adjustment,Usually no major adjustment,Monitor underlying B12 deficiency,Common pediatric use,Generally recommended in pregnancy,Compatible with breastfeeding,Nausea rash
Cyanocobalamin,Cyanocobalamin,Vitamins,Vitamin B12,Vitamin B12 deficiency,Oral/Injection,Replaces vitamin B12 required for DNA synthesis and neurologic function,Usually no adjustment,Usually no major hepatic adjustment,Important in older adults with malabsorption risk,Used in children when indicated,Generally compatible,Compatible,Injection-site pain rash
Pyridoxine,Pyridoxine,Vitamins,Vitamin B6,Pyridoxine deficiency and selected drug-induced neuropathy,Oral/Injection,Acts as coenzyme in amino acid metabolism,Use cautiously in renal impairment,Use cautiously in hepatic disease,Monitor long-term high-dose use,Age-specific dosing in children,Generally compatible when indicated,Compatible,Neuropathy at high doses nausea
Thiamine,Thiamine,Vitamins,Vitamin B1,Thiamine deficiency,Oral/Injection,Coenzyme in carbohydrate metabolism,Usually no adjustment,Usually no major hepatic adjustment,Important in malnutrition and older adults,Used in children when indicated,Generally compatible,Compatible,Rash injection reactions
Vitamin D3,Cholecalciferol,Vitamins,Vitamin D,Vitamin D deficiency,Oral,Promotes calcium and phosphate absorption,Use cautiously in renal disease,Use cautiously in hepatic disease,Monitor calcium and vitamin D status,Common pediatric supplementation,Generally compatible when appropriately dosed,Compatible,Hypercalcemia nausea weakness
Magnesium oxide,Magnesium oxide,Mineral supplement,Magnesium salt,Magnesium deficiency and selected GI indications,Oral,Provides magnesium and acts as osmotic agent,Reduce or avoid in severe renal impairment,Usually no major hepatic adjustment,Monitor magnesium in older adults with renal dysfunction,Use pediatric dosing carefully,Generally compatible when indicated,Compatible,Diarrhea hypermagnesemia
Potassium chloride,Potassium chloride,Electrolyte supplement,Potassium salt,Hypokalemia,Oral/IV,Replaces potassium,Use cautiously or avoid in significant renal impairment,Usually no major hepatic adjustment,Monitor potassium and ECG when appropriate,Specialist pediatric dosing,Use when clearly indicated,Compatible with monitoring,GI irritation hyperkalemia
Sodium bicarbonate,Sodium bicarbonate,Alkalinizing agent,Buffer salt,Metabolic acidosis and selected poisoning indications,Oral/IV,Provides bicarbonate and raises systemic pH,Use cautiously in renal impairment,Use cautiously in hepatic disease with fluid retention,Monitor sodium and acid-base status,Specialist pediatric use,Use only when clinically indicated,Limited data,Metabolic alkalosis sodium overload
Ranitidine,Ranitidine,Acid suppressant,H2 receptor antagonist,GERD and peptic ulcer disease,Oral/Injection,Blocks histamine H2 receptors and reduces gastric acid secretion,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor CNS effects in older adults,Limited pediatric use,Use only when clinically indicated,Limited data,Headache diarrhea confusion
Sucralfate,Sucralfate,Gastroprotective agent,Mucosal protectant,Peptic ulcer disease,Oral,Forms a protective barrier over ulcerated mucosa,Use cautiously in severe renal impairment due to aluminum accumulation,Usually no major hepatic adjustment,Monitor constipation and drug interactions,Used in selected pediatric cases,Use when benefits outweigh risks,Limited data,Constipation dry mouth
Bismuth subsalicylate,Bismuth subsalicylate,Gastroprotective/Antidiarrheal,Bismuth compound,Diarrhea and dyspepsia,Oral,Protects mucosa and has antimicrobial activity,Use cautiously in renal impairment,Avoid prolonged use in significant hepatic disease,Salicylate toxicity risk may be greater in older adults,Generally avoided in children with viral illness,Avoid unless specifically indicated,Limited data,Black tongue dark stools constipation
Aluminium hydroxide,Aluminium hydroxide,Antacid,Aluminium salt,Acid indigestion and GERD,Oral,Neutralizes gastric acid,Avoid prolonged use in renal impairment,Usually no major hepatic adjustment,Monitor constipation and aluminum accumulation,Use cautiously in children,Generally compatible when appropriately used,Compatible,Constipation hypophosphatemia
Magnesium hydroxide,Magnesium hydroxide,Laxative/Antacid,Magnesium salt,Constipation and acid indigestion,Oral,Neutralizes acid and retains water in intestine,Avoid or reduce in severe renal impairment,Usually no major hepatic adjustment,Monitor magnesium in older adults,Use with pediatric age-specific dosing,Generally compatible when indicated,Compatible,Diarrhea hypermagnesemia
Hyoscine butylbromide,Hyoscine butylbromide,Antispasmodic,Anticholinergic,Abdominal and intestinal spasms,Oral/Injection,Blocks muscarinic receptors and relaxes smooth muscle,Use cautiously in renal impairment,Use cautiously in hepatic impairment,High anticholinergic burden in older adults,Limited pediatric use,Use when clinically indicated,Limited data,Dry mouth tachycardia constipation
Dicyclomine,Dicyclomine,Antispasmodic,Anticholinergic,Functional bowel disorders and intestinal spasms,Oral/Injection,Blocks muscarinic receptors and reduces GI smooth muscle spasm,Use cautiously in renal impairment,Use cautiously in hepatic impairment,High confusion and anticholinergic risk,Contraindicated or restricted in very young infants,Use only when clearly indicated,Limited data,Dry mouth blurred vision constipation
Glycopyrrolate,Glycopyrrolate,Anticholinergic,Muscarinic antagonist,Reduction of secretions and selected GI indications,Oral/Injection,Blocks peripheral muscarinic receptors,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor urinary retention and confusion,Used in pediatric specialist settings,Use when indicated,Limited data,Dry mouth constipation tachycardia
Dutasteride,Dutasteride,Urological agent,5-alpha reductase inhibitor,Benign prostatic hyperplasia,Oral,Inhibits type 1 and type 2 5-alpha reductase,Usually no renal adjustment,Use cautiously in hepatic impairment,Monitor sexual adverse effects,Not indicated in children,Contraindicated in pregnancy due to fetal risk,Not indicated for routine lactation,Decreased libido erectile dysfunction
Tadalafil,Tadalafil,PDE5 inhibitor,Phosphodiesterase-5 inhibitor,Erectile dysfunction and pulmonary hypertension,Oral,Inhibits PDE5 and increases cGMP-mediated vasodilation,Reduce dose in renal impairment,Use cautiously in hepatic impairment,Monitor hypotension and cardiovascular status,Not routinely indicated in children,Not indicated for routine pregnancy use,Limited data,Headache flushing hypotension
Buspirone,Buspirone,Anxiolytic,Serotonin 5-HT1A partial agonist,Generalized anxiety disorder,Oral,Modulates serotonin 5-HT1A receptors,Use cautiously in renal impairment,Avoid severe hepatic impairment,Lower sedation and dependence risk than benzodiazepines,Limited pediatric evidence,Use only when clinically indicated,Limited data,Dizziness nausea headache
Paroxetine,Paroxetine,Antidepressant,SSRI,Depression anxiety and panic disorder,Oral,Inhibits serotonin reuptake,Use cautiously in renal impairment,Reduce dose in hepatic impairment,Monitor anticholinergic effects and withdrawal,Limited pediatric use,Generally avoided in pregnancy when alternatives exist,Limited data,Nausea sexual dysfunction withdrawal symptoms
Nortriptyline,Nortriptyline,Antidepressant,Tricyclic antidepressant,Depression and neuropathic pain,Oral,Inhibits norepinephrine and serotonin reuptake,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor cardiac effects and anticholinergic burden,Limited pediatric use,Use when benefits outweigh risks,Limited data,Dry mouth constipation sedation
Lithium carbonate,Lithium carbonate,Mood stabilizer,Antimanic agent,Bipolar disorder,Oral,Modulates intracellular signaling and neurotransmission,Renal function strongly affects clearance; dose and levels require monitoring,Avoid or use cautiously in significant hepatic disease,Older adults require lower doses and close levels,Specialist pediatric use,Use only when benefits outweigh risks,May be used with specialist monitoring,Polyuria tremor hypothyroidism toxicity
Phenobarbital,Phenobarbital,Anticonvulsant,Barbiturate,Seizure disorders,Oral/Injection,Enhances GABA-A receptor activity,Reduce dose in renal impairment,Use cautiously in hepatic impairment,High sedation and falls risk,Commonly used in selected pediatric seizures,Use when clinically indicated,May cause infant sedation,Sedation respiratory depression
Lamotrigine,Lamotrigine,Anticonvulsant/Mood stabilizer,Voltage-gated sodium channel blocker,Epilepsy and bipolar disorder,Oral,Reduces voltage-gated sodium channel activity,Use cautiously in renal impairment,Reduce or titrate cautiously in hepatic impairment,Slow titration is important,Used in children with specialist dosing,Use when benefits outweigh risks,Limited data,Rash dizziness serious skin reactions
Topiramate,Topiramate,Anticonvulsant,Multiple mechanisms,Epilepsy and migraine prevention,Oral,Blocks sodium channels and enhances GABA activity,Reduce dose in renal impairment,Use cautiously in hepatic impairment,Monitor growth hydration and cognition,Used in children with specialist dosing,Use only when clearly indicated,Limited data,Weight loss cognitive effects kidney stones
Levodopa-carbidopa,Levodopa + Carbidopa,Antiparkinsonian,Dopamine precursor plus decarboxylase inhibitor,Parkinson disease,Oral,Levodopa converts to dopamine while carbidopa reduces peripheral metabolism,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor orthostatic hypotension and dyskinesia,Not routinely used in young children,Use when clinically indicated,Limited data,Nausea dyskinesia hypotension
Pramipexole,Pramipexole,Antiparkinsonian,Dopamine agonist,Parkinson disease and restless legs syndrome,Oral,Stimulates dopamine D2/D3 receptors,Renal dose adjustment required,Usually no major hepatic adjustment,Monitor hallucinations and orthostatic hypotension,Not routinely used in children,Use only when indicated,Limited data,Somnolence hallucinations hypotension
Ropinirole,Ropinirole,Antiparkinsonian,Dopamine agonist,Parkinson disease and restless legs syndrome,Oral,Stimulates dopamine receptors,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor hallucinations and sudden sleep episodes,Not routinely used in children,Use only when indicated,Limited data,Nausea somnolence hypotension
Donepezil,Donepezil,Antidementia,Acetylcholinesterase inhibitor,Alzheimer disease,Oral,Inhibits acetylcholinesterase and increases acetylcholine,Usually no renal adjustment,Use cautiously in hepatic impairment,Monitor bradycardia weight loss and syncope,Not indicated in children,Not indicated in pregnancy,Limited data,Nausea diarrhea bradycardia
Memantine,Memantine,Antidementia,NMDA receptor antagonist,Moderate to severe Alzheimer disease,Oral,Blocks excessive NMDA receptor activation,Reduce dose in severe renal impairment,Use cautiously in severe hepatic impairment,Start low and monitor confusion,Not indicated in children,Not indicated in pregnancy,Limited data,Dizziness headache constipation
Piperacillin + Tazobactam,Piperacillin + Tazobactam,Antibiotic,Penicillin plus beta-lactamase inhibitor,Serious bacterial infections,IV,Inhibits cell wall synthesis and beta-lactamases,Renal dose adjustment required,Use cautiously in hepatic impairment,Monitor renal function and electrolytes,Specialist pediatric dosing,Use when benefits outweigh risks,Limited data,Diarrhea rash electrolyte abnormalities
Cefalexin,Cefalexin,Antibiotic,First-generation cephalosporin,Bacterial infections,Oral,Inhibits bacterial cell wall synthesis,Renal dose adjustment required,Usually no major adjustment,Monitor renal function,Common pediatric use with weight-based dosing,Generally compatible when indicated,Compatible,Diarrhea nausea rash
Imipenem + Cilastatin,Imipenem + Cilastatin,Antibiotic,Carbapenem,Severe bacterial infections,IV,Inhibits cell wall synthesis and reduces renal metabolism of imipenem,Renal dose adjustment required,Usually no major hepatic adjustment,Monitor CNS effects and renal function,Specialist pediatric use,Use when clearly indicated,Limited data,Nausea diarrhea seizures
Nitrofurantoin,Nitrofurantoin,Antibiotic,Nitrofuran,Urinary tract infections,Oral,Damages bacterial DNA and proteins,Avoid or restrict use in significant renal impairment,Use cautiously in hepatic impairment,Older adults have increased pulmonary and hepatic toxicity risk,Not generally used in very young infants,Use when indicated,Compatible with monitoring,Nausea pulmonary toxicity hepatotoxicity
Trimethoprim-sulfamethoxazole,Trimethoprim + Sulfamethoxazole,Antibiotic,Folate pathway inhibitor,Urinary and other bacterial infections,Oral/IV,Blocks sequential steps in bacterial folate synthesis,Renal dose adjustment required,Use cautiously in hepatic impairment,Monitor potassium and blood counts,Specialist pediatric dosing,Generally avoided near term and when alternatives preferred,Limited data,Rash hyperkalemia nausea
Terbinafine,Terbinafine,Antifungal,Allylamine,Dermatophyte infections,Oral/Topical,Inhibits fungal squalene epoxidase,Use cautiously in renal impairment,Avoid significant hepatic disease,Monitor liver function during systemic therapy,Limited pediatric use,Generally avoided unless specialist-directed,Limited data,Hepatotoxicity taste disturbance rash
Methylprednisolone,Methylprednisolone,Corticosteroid,Glucocorticoid,Inflammatory and autoimmune disorders,Oral/Injection,Suppresses inflammatory gene transcription,Usually no major renal adjustment,Use cautiously in hepatic impairment,Monitor glucose infection and osteoporosis,Used in children when indicated,Use when benefits outweigh risks,Compatible with monitoring,Hyperglycemia mood changes infection
Budesonide + Formoterol,Budesonide + Formoterol,Antiasthmatic,Inhaled corticosteroid plus LABA,Asthma and COPD,Inhalation,Reduces airway inflammation and produces bronchodilation,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor growth and cardiovascular effects,Used in children depending product and age,Use when benefits outweigh risks,Compatible with monitoring,Oral candidiasis tremor hoarseness
